AuthBiometricSelfie;CA.WID;;;;CBK;CROSSCHANNEL
AuthBiometricSelfiePreview;CA.APP;;;;CBK;CROSSCHANNEL
AutoFactura;CA.APP;;;;CORP;externalAgency
BAOFOP;SRV.DS;;;;CBK;externalAgency
BCKAUM;SRV.DS;;;;CBK;REGULATIONCOMPLIANCE
BCKGMI;SRV.DS;;;;CBK;DocumentManagementAndArchive
BCKKYC;SRV.DS;;;;CBK;FraudEvalutaion
BCKPAC;SRV.DS;;;;CBK;ITMANAGEMENT
BCKPAU;SRV.DS;;;;CBK;solutionDevelopment
BCKPAV;SRV.DS;;;;CBK;ITMANAGEMENT
BCKQBR;SRV.DS;;;;CBK;CreditPositionKeeping
BKDDSP;SRV.DS;;;;CBK;BRANCHCHANNEL
BPMAdministration;CA.APP;;;;CORP;openBPM
BPMAdministration;SRV.MS;;;;CBK;openBPM
BPMController;SRV.MS;;;;CBK;openBPM
BRLOUI;SRV.DS;;;;CBK;BranchChannel
BranchInheritanceManagement;CA.APP;;;;CBK;Servicing
BranchLocation;CA.APP;;;;CBK;BranchChannel
BranchLocationOperations;SRV.MS;;;;CBK;ChannelSpecific
BranchLocationOperationsInterHlp;SRV.MS;;;;CBK;BranchLocationOperationsInterHlp
BranchLocationOperationsUsrIntrfc;SRV.MS;;;;CBK;BranchChannel
BranchPortfolio;SRV.LIB;;;;CBK;BUSINESSANALYSIS
BranchSustainability;CA.APP;;;;CBK;SustainabilityESG
CAALMA;SRV.DS;;;;CBK;Cards
CAAUBL;SRV.DS;;;;CBK;cardAuthorization
CAAUPR;SRV.DS;;;;CBK;Cards
CACBPI;SRV.DS;;;;CBK;TARJETASYCOMERCIOS
CADEAH;SRV.DS;;;;CBK;cardDelinquentAccountHandling
CAFISE;SRV.DS;;;;CBK;CardOperations
CALLME;SRV.DS;;;;CBK;CrossChannel
CALRAR;SRV.DS;;;;CBK;contributionModels
CARAUT;SRV.DS;;;;CBK;cardAuthorization
CARCOR;SRV.DS;;;;CBK;SERVICING
CARDPRINTING;SRV.MS;;;;CBK;cardPrinting
CARGCI;SRV.DS;;;;CBK;InvestmentManagement
CARPRI;SRV.DS;;;;CBK;cardPrinting
CATCAT;SRV.DS;;;;CBK;ATM
CATEAD;SRV.DS;;;;CBK;cardTerminalAdministration
CATOPS;CA.APP;;;;CBK;devcatoperativas
CATOPS;SRV.DS;;;;CBK;catoperativas
CCDEDS;SRV.DS;;;;CBK;customerBehavioralInsights
CCDEMicroService;SRV.MS;;;;CBK;customerBehavioralInsights
CCFCCF;SRV.DS;;;;CBK;products
CCMGLI;SRV.DS;;;;CORP;MARKETING
CCSCCS;SRV.DS;;;;CBK;MARKETING
CECAHA;SRV.DS;;;;CBK;PAYMENTS
CGECGE;SRV.DS;;;;CBK;InvestmentManagement
CGFARQ;SRV.DS;;;;CBK;ITMANAGEMENT
CGFCGF;SRV.DS;;;;CBK;ITMANAGEMENT
CGNOFI;SRV.DS;;;;CBK;INFRAESTRUCTURA
CGOALE;SRV.DS;;;;CBK;ChannelSpecific
CHACHI;SRV.DS;;;;CBK;CrossChannel
CHAPER;CA.APP;;;;CBK;CHAPER
CLIMIN;SRV.DS;;;;CBK;AccountingServices
CLMALI;SRV.DS;;;;CBK;OperationalServices
CLOAUT;SRV.DS;;;;CBK;CrossChannel
CNAEManagement;CA.APP;;;;CBK;Party
CNAEManagement;SRV.MS;;;;CBK;Party
COBAOP;SRV.DS;;;;CBK;Payments
COBIPA;SRV.DS;;;;CBK;NonITAndNonHREnterpriseServices
COHCBI;SRV.DS;;;;CBK;CROSSCHANNEL
COLECT;SRV.DS;;;;CBK;CUSTOMERMANAGEMENT
COLLECTIONS;SRV.MS;;;;CBK;collections
COMINT;SRV.DS;;;;CBK;DocumentManagementAndArchive
CONHAN;SRV.DS;;;;CBK;CROSSCHANNEL
CONROU;SRV.DS;;;;CBK;contactRouting
COPSDashboard;CA.APP;;;;CBK;externalAgency
COREVE;SRV.DS;;;;CBK;corporateEvents
CORLEA;SRV.DS;;;;CBK;CorporateLease
CORRES;SRV.DS;;;;CBK;DOCUMENTMANAGEMENTANDARCHIVE
CORTRE;SRV.DS;;;;CBK;CorporateTreasury
CPCGRP;SRV.DS;;;;CORP;CustomerAccessEntitlement
CPPCPP;SRV.DS;;;;CBK;Deposits
CPRCPR;SRV.DS;;;;CBK;MODELS
CPSBPI;SRV.DS;;;;CBK;CustomerManagement
CREACC;SRV.DS;;;;CBK;creditAccount
CRMAMA;SRV.DS;;;;CBK;creditMarginManagement
CROSSCHANNEL;SRV.MS;;;;CBK;CrossChannel
CSBDSF;SRV.DS;;;;CBK;NowInSales
CTMCTM;SRV.DS;;;;CBK;BRANCHCHANNEL
CTXTDS;CA.APP;;;;CBK;CTXTDS
CTXTDS;SRV.DS;;;;CBK;CTXTDS
CUACEN;SRV.DS;;;;CBK;CustomerManagement
CUBEIN;SRV.DS;;;;CBK;CustomerManagement
CUCRRA;SRV.DS;;;;CBK;CustomerRatingCredit
CUOFDE;SRV.DS;;;;CBK;SALES
CUOFSL;SRV.DS;;;;CBK;customerOfferSalaryLoan
CUPOLI;SRV.MS;;;;CBK;ACCOUNTINGSERVICES
CUPRSE;SRV.DS;;;;CBK;CustomerManagement
CUPRSU;SRV.DS;;;;CBK;CustomerManagement
CURACC;SRV.DS;;;;CBK;currentAccount
CUREMA;SRV.DS;;;;CBK;CustomerManagement
CUSAGR;SRV.DS;;;;CBK;CustomerAgreement
CUSBEH;SRV.DS;;;;CBK;customerBehavioralInsights
CUSBIL;SRV.DS;;;;CBK;OperationalServices
CUSOFF;SRV.DS;;;;CBK;customerOffer
CUSPFL;SRV.DS;;;;CBK;CustomerManagement
CUSPOS;SRV.DS;;;;CBK;customerPosition
CUSPRO;SRV.DS;;;;CBK;CustomerManagement
CUSSUR;SRV.DS;;;;CBK;customerSurveys
CalculoDTI;SRV.LIB;;;;CBK;API
CallMeManagement;CA.APP;;;;CBK;CROSSCHANNEL
CallMeNow;CA.WID;;;;CBK;HOMEBANKING
CallMeNowPreview;CA.APP;;;;CBK;eChannels
CambioMonedaConDivisaCambios;SRV.MS;;;;CBK;currencyExchange
CampaignIOP;SRV.CFG;;;;CBK;gobierno
CampaignInsuranceNonLife;SRV.MS;;;;CBK;Campaign
CancellationNonLifeInsuance;SRV.MS;;;;CBK;Cancellation
CardAlertManagement;SRV.MS;;;;CBK;Cards
CardAuthoritationMonitor;SRV.LIB;;;;CBK;CardAuthoritation
CardAuthorizationPreconfRefund;SRV.MS;;;;CBK;Cards
CardFraudRules;CA.APP;;;;CBK;CARDS
CardInserter;CA.APP;;;;CBK;SERVICING
CardMovementsManagement;CA.APP;;;;CBK;CARDS
CardNetworkParticipantFacility;SRV.MS;;;;CBK;CardNetworkParticipantFacility
CardOperations;CA.APP;;;;CBK;echannels
CardOwnershipAndMovementsCertif;CA.APP;;;;CBK;CONSUMERSERVICES
CardOwnershipCertificate;CA.APP;;;;CBK;CONSUMERSERVICES
CardRenewal;CA.APP;;;;CBK;ECHANNELS
CardServicash;CA.APP;;;;CBK;CARDS
CardsXpaysRemediation;CA.APP;;;;CBK;CARDS
CashMail;CA.APP;;;;CBK;PAYMENTS
CashRequest;CA.APP;;;;CBK;Deposits
CentralCashHandlingUtility;CA.APP;;;;CBK;Payments
ChannelActivityAnalysis;CA.APP;;;;CORP;metrics
ChannelPersonalizationPreview;CA.APP;;;;CBK;ITMANAGEMENT
ChannelTaxonomyDefinition;CA.APP;;;;CBK;CrossChannel
ClaimsManagementLifeInsurance;CA.APP;;;;CBK;OperationalServices
ClaimsManagementLifeInsurance;SRV.MS;;;;CBK;OperationalServices
ClearingFiles;CA.APP;;;;CBK;PAYMENTSACCOUNT
CognitiveActionHub;SRV.BFF;;;;CBK;CognitiveActionHub
CollateralAssetAdministration;SRV.MS;;;;CBK;CollateralAdministration
CommissionInsuranceNonLife;SRV.MS;;;;CBK;commissions
CommonLiterals;CA.APP;;;;CBK;ITManagement
CompanyBillingPayments;SRV.MS;;;;CBK;NonITAndNonHREnterpriseServices
ConciliacionCuentaCentralizada;CA.APP;;;;CBK;financialControl
ConciliacionCuentaCentralizada;SRV.MS;;;;CBK;financialControl
Confirming;SRV.MS;;;;CBK;financiacionfacturasconfirming
ConfluenceOperationServices;SRV.MS;;;;CORP;idea
ConsumerLoan;SRV.MS;;;;CORP;ConsumerLoan
ContactDialogue;SRV.MS;;;;CBK;contactDialogue
ContratacionSeguroNegocio;CA.APP;;;;CBK;sales
CorporateInformation;CA.APP;;;;CBK;BUSINESSANALYSIS
CorporateTreasury;SRV.MS;;;;CBK;CorporateTreasury
Correspondence;CA.APP;;;;CBK;Correspondence
Correspondence;SRV.MS;;;;CBK;Correspondence
CorrespondentBankOperations;SRV.MS;;;;CBK;Payments
CreateNaturalPerson;CA.APP;;;;CBK;PartyLifecycleManagement
CreditAccount;SRV.MS;;;;CBK;creditAccount
CreditCard;SRV.LIB;;;;CBK;CreditCard
CreditCard;SRV.MS;;;;CBK;creditCard
CreditCardList;SRV.MS;;;;CBK;creditCard
CreditCardPositionKeeping;SRV.LIB;;;;CBK;CARDS
CreditCardPositionKeeping;SRV.MS;;;;CBK;CreditCardPositionKeeping
CreditCardTransactionExecution;SRV.MS;;;;CBK;CreditCardTransactionExecution
CreditFacility;CA.APP;;;;CBK;CreditFacility
CreditManagementMicroBank;SRV.MS;;;;CBK;CUSTOMERMANAGEMENT
